Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
252.229-7002,Customs Exemptions (Germany),Jun 1997,REMOVE,In solicitations and contracts requiring the import of U.S. manufactured products into Germany.  Most likely not applicable.,,,03/27/14 CDC,,,229.402-70(b),
252.229-7003,Tax Exemptions (Italy),Mar 2012,REMOVE,In solicitations and contracts when contract performance will be in Italy.,,,03/27/14 CDC,,,229.402-70(c)(1),
252.229-7004,Status of Contractor as a Direct Contractor (Spain),Jun 1997,REMOVE,"In solicitations and contracts requiring the import into Spain of supplies for construction, development, maintenance, or operation of Spanish-American installations and facilities.  Not applicable.",,,03/27/14 CDC,,,229.402-70(b),
252.229-7005,Tax Exemptions (Spain),Mar 2012,REMOVE,In solicitations and contracts when contract performance will be in Spain.  Not applicable.,,,03/27/14 CDC,,,229.402-70(e)(1),
252.229-7006,Value Added Tax Exclusion (United Kingdom),Dec 2011,REMOVE,In solicitations and contracts when contract performance will be in the United Kingdom.  Not applicable.,,,03/27/14 CDC,,,229.402-70(f),
252.229-7007,Verification of United States Receipt of Goods.,Jun 1997,REMOVE,In solicitations and contracts when contract performance will be in the United Kingdom.  Not applicable.,,,03/27/14 CDC,,,229.402-70(g),
252.229-7008,Relief from Import Duty (United Kingdom),Dec 2011,REMOVE,In solicitations issued and contracts awarded in the United Kingdom.  Not applicable.,,,03/27/14 CDC,,,229.402-70(h),
252.229-7009,Relief from Customs Duty and Value Added Tax on Fuel (Passenger Vehicles) (United Kingdom),Jun 1997,REMOVE,In solicitations issued and contracts awarded in the United Kingdom for fuels (gasoline or diesel) and lubricants used in passenger vehicles (excluding taxis).  Not applicable.,,,03/27/14 CDC,,,229.402-70(i),
252.229-7010,Relief from Customs Duty on Fuel (United Kingdom).,Jun 1997,REMOVE,In solicitations issued and contracts awarded in the United Kingdom that require the use of fuels (gasoline or diesel) and lubricants in taxis or vehicles other than passenger vehicles.  Not applicable.,,,03/27/14 CDC,,,229.402-70(j),
252.229-7011,Reporting of Foreign Taxes – U.S. Assistance Programs.  ,Sep 2005,C,Used in solicitations and contracts funded with U.S. assistance appropriations provided in the annual foreign operations appropriations act.  It states that commodities acquired under the contract will be exempt from foreign value added taxes.    ,This will most likely not apply to Virginia Tech.  ,"Yes, in all subcontracts for commodities over $500.",10/23/2013 CDC,,,229.170-4  ,
252.229-7012,Tax Exemptions (Italy)—Representation.,Mar 2012,REMOVE,In solicitations and contracts when contract performance will be in Italy.  Not applicable.  ,,,03/27/14 CDC,,,229.402-70(c)(2),6700
252.229-7013,Tax Exemptions (Spain)—Representation,Apr 2012,REMOVE,In solicitations and contracts when contract performance will be in Spain.  Not applicable.,,,03/27/14 CDC,,,229.402-70(e)(2),
252.229-7014,Full Exemption from Two-Percent Excise Tax on Certain Foreign Procurements.,Oct 2022,C,"In contracts that include the clause at FAR 52.229-12, Tax on Certain Foreign Procurements, when the contractor has—

 (1)  Represented that it is a foreign person in response to the provision at FAR 52.229-11, Tax on Certain Foreign Procurements—Notice and Representation; and

(2)  Indicated that it is fully exempt from the tax for reasons cited on their IRS Form W-14, Certificate of Foreign Contracting Party Receiving Federal Procurement Payments.",,,03/19/23 CDC,,,"229.402-70(k),",
252.231-7000,Supplemental Cost Principles,Dec 1991,REMOVE,"Required when contract is subject to principles and procedures in FAR Subparts 31.1, 31.2, 31.6, and 31.7.
","VT is an educational institution under 31.3, so not required per prescription",Not required in clause or prescription,"06/12/20 CDC
10/18/10 LDC", no,,231.100-70,
252.232-7003,Electronic Submission of Payment Requests and Receiving Reports,Dec 2018,OK,"Required in all DoD contracts, unless an exclusion at DFARS 232.7002(a) applies.  In the vast majority of cases, this clause will apply.    

The following exclusions apply (but will rarely apply to Virginia Tech):            

(1)  Purchases paid for with a Governmentwide commercial purchase card;

 (2)  Awards made to foreign vendors for work performed outside the United States;

(3)  Classified contracts or purchases when electronic submission and processing of payment requests could compromise the safeguarding of classified information or national security;

 (4)  Contracts awarded by deployed contracting officers in the course of military operations, including, but not limited to, contingency operations as defined in 10 U.S.C. 101(a)(13) or humanitarian or peacekeeping operations as defined in 10 U.S.C. 2302(8), or contracts awarded by contracting officers in the conduct of emergency operations, such as responses to natural disasters or national or civil emergencies;

 (5)  Purchases to support unusual or compelling needs of the type described in FAR 6.302-2;

 (6)  Cases in which DoD is unable to receive payment requests or provide acceptance in electronic form; or

 (7)  Cases in which the contracting officer administering the contract for payment has determined, in writing, that electronic submission would be unduly burdensome to the contractor.",,,12/27/18 CDC,,,232.7004(a),
OLD,Electronic Submission of Payment Requests and Receiving Reports,Jun 2012,OK,Required in all contracts.,,,"12/06/14 CDC
10/30/09 LDC",,,232.7004(a),
252.232-7006,Wide Area Workflow Payment Instructions,Jan 2023,OK,"When DFARS 252.232-7003 is included. Certain health care services using the TRICARE Encounter Data System and commercial transportation services are excluded at DFARS 232.7002(b)(1).  These exclusions will not apply to Virginia Tech.  Therefore, this clause should always be included.  

",,No,"03/20/23 CDC
12/27/18 CDC",No,,232.7004(b),
OLD,Wide Area Workflow Payment Instructions,Dec 2018,OK,"When DFARS 252.232-7003 is included. Certain health care services using the TRICARE Encounter Data System and commercial transportation services are excluded at DFARS 232.7002(b)(1).  These exclusions will not apply to Virginia Tech.  Therefore, this clause should always be included.  

",,No,12/27/18 CDC,No,,232.7004(b),
OLD,Wide Area Workflow Payment Instructions,May 2013,OK,"When DFARS 252.232-7003 is included.  Certain health care services using the TRICARE Encounter Data System and commercial transportation services are excluded.  These exclusions will not apply to Virginia Tech.  Therefore, this clause should always be included.  

NOTE - There is a DoD Class Deviation (2013-O0005) for ONR Regional Offices.  This deviation authorizes contractors performing work under contracts administered by ONR Regional Offices to use PayWeb, while it is being phased out, as an alternate method of sending submissions to Wide Area Workflow in addition to the more commonly used methods listed in DFARS 252.232-7006. This deviation remains in effect until September 30, 2014.  Deviation:

http://www.acq.osd.mil/dpap/policy/policyvault/USA007509-12-DPAP.pdf",,No,02/07/14 CDC,No,,232.7004(b),
252.232-7007,Limitation of Government's Obligation,April 2014,OK,Required in incrementally funded FP contracts.,,Not required in clause or prescription.,04/22/14 CDC,,,232.705-70,
252.232-7008,Assignment of Claims (Overseas),Jun 1997,C,"When contract performance will be in a foreign country.

Notify OESRC if performance will be in a foreign country.  ","Negotiation Position #1 - Performance in the US. 

This clause is prescribed to be used in contracts when performance will be in a foreign country.  It is understood that this clause does not apply, as performance is being executed within the United States.  Thank you.

Negotiation Position #2 - If Performed Overseas. 
This clause sets forth the procedures for assigning payment.  Virginia Tech as a state agency of the Commonwealth of Virginia will not be assigning payment to a third party.  Therefore, it is understood that the requirements of these clauses do not apply.",Not required in clause or prescription.,"05/31/21 CDC
03/28/21 CDC",No,Yes,232.806(a)(1,
252.232-7010,Levies on Payments to Contractors,Dec 2006,C,Required in all contracts above micropurchase threshold.,,Not required in clause or prescription,10/18/10 LDC,no,,232.7102,
252.232-7011,Payments in Support of Emergencies and Contingency Operations,May 2013,REMOVE,"This clause pertains to solicitations emergencies, contingency operations, or the release or threatened release of hazardous substances.  This does not apply to the research Virginia Tech is executing.

This clause documents that the requirements of FAR Subpart 32.9, Prompt Payment, do not apply to the previously mentioned scenarios. 

I would try to remove this clause as it will not apply.  If the Sponsor is unwilling to remove it, if we are not executing the three activities listed above, the clause is self-deleting (i.e. it would not apply). ",,Not required in clause or prescription,04/22/14 CDC,no,,232.908,
252.232-7012,Performance-Based Payments-Whole Contract Basis,Dec 2022,REMOVE,For performance-based payments made on a whole contract basis.  Required when contract financing is included.  Not applicable.  ,,Not required in clause or prescription,"03/20/23 CDC
04/22/14 CDC",no,,232.1005-70(a),
OLD,Performance-Based Payments-Whole Contract Basis,Mar 2014,REMOVE,For performance-based payments made on a whole contract basis.  Required when contract financing is included.  Not applicable.  ,,Not required in clause or prescription,04/22/14 CDC,no,,232.1005-70(a),
252.232-7013,Performance-Based Payments-Deliverable Item Basis,Dec 2022,REMOVE,For performance-based payments made on a deliverable-item basis.  Required when contract financing is included.  Not applicable.  ,,Not required in clause or prescription,"03/20/23 CDC
04/22/14 CDC",no,,232.1005-70(b),
OLD,Performance-Based Payments-Deliverable Item Basis,Apr 2014,REMOVE,For performance-based payments made on a deliverable-item basis.  Required when contract financing is included.  Not applicable.  ,,Not required in clause or prescription,04/22/14 CDC,no,,232.1005-70(b),
252.233-7001,Choice of Law (Overseas),Jun 1997,REMOVE,"In solicitations and contracts when contract performance will be outside the United States and its outlying areas, unless otherwise provided for in a government-to-government agreement.

This clause invokes the laws of the United States and is meant to do so when contracting with a foreign government entity.  

Not applicable.  Performance typically within USA. 

Notify OESRC if performance will be in a foreign country.  ","Negotiation Position #1 - Performance in the US. 

This clause is prescribed to be used in contracts when performance will be in a foreign country.  It is understood that this clause does not apply, as performance is being executed within the United State",Not required in clause or prescription,"03/28/21 CDC
03/27/14 CDC",no,Yes,233.215-70,
252.234-7001,Notice of Earned Value Management System.,Apr 2008,REMOVE,"Applicable only to contracts for major acquisitions over $20,000,000.  ","Not applicable to Virginia Tech's research efforts per prescription  at DFARS 234.203(2).    An Earned Value Management System would be applicable to a commercial entity.  Thank you for your understanding that this should not apply to an educational institution executing research effort.  TIn addition, per DFARS 234.301, Policy, and EVMS would only apply to acquisition over $20 million.  Thank you. ",,"03/05/23 CDC
6/23/17 CDC",,,,
252.234-7002,Earned Value Management System.,May 2011,REMOVE,"Applicable only to contracts for major acquisitions over $20,000,000.  ","Not applicable to Virginia Tech's research efforts per prescription  at DFARS 234.203(2).    An Earned Value Management System would be applicable to a commercial entity.  Thank you for your understanding that this should not apply to an educational institution executing research effort.  TIn addition, per DFARS 234.301, Policy, and EVMS would only apply to acquisition over $20 million.  Thank you. ",,"03/05/23 CDC
6/23/17 CDC",,,,
252.234-7003,Notice of Cost and Software Data Reporting System,Nov 2014,REMOVE,"Applicable only to contracts for major acquisitions over $20,000,000","An Earned Value Management System would be applicable to a commercial entity.  Thank you for your understanding that this should not apply to an educational institution executing research effort.  TIn addition, per DFARS 234.301, Policy, and EVMS would only apply to acquisition over $20 million.  Thank you. ",,"03/05/23 CDC
6/23/17 CDC",,,,
252.234-7004,Cost and Software Data Reporting System,Nov 2014,REMOVE,"Applicable only to contracts for major acquisitions over $20,000,000","An Earned Value Management System would be applicable to a commercial entity.  Thank you for your understanding that this should not apply to an educational institution executing research effort.  TIn addition, per DFARS 234.301, Policy, and EVMS would only apply to acquisition over $20 million.  Thank you. ",,"03/05/23 CDC
6/23/17 CDC",,,,
252.235-7001,Indemnification Under 10 U.S.C. 2354-Cost Reimbursement,Dec 1991,OK,This clause is for when the government indemnifies the contractor to be determined by CO,,"Yes, but must have CO approval to flow down.  See paragraph (i)",01/19/10 LDC,no,,235.070-3,
252.235-7002,Animal Welfare,Dec 2014,OK,Use when research involves live vertebrate animals.,"Must register its research facility with the Secretary of Agriculture in accordance with 7 U.S.C. 2136 and 9 CFR Subpart C, and Section 2.30, and furnish evidence of such registration to the Contracting Officer before beginning work under this contract.","Yes, in all subcontracts involving research of live vertebrate animals.",12/6/14 CDC,no,,235.072(a),
252.235-7003,Frequency Authorization,Mar 2014,C,"If the contractor requires the development, production, construction, testing, or operation of a device for which a radio frequency authorization is required.  Use clause with Alternate I if a DD Form 1494, Application for Equipment Frequency Allocation is used to obtain radio frequency authorization.",Check with the PI to see if a radio frequency authorization is required.,"Yes, in all subcontracts requiring the development, production, construction, testing, or operation of a device for which a radio frequency authorization is required.",04/22/14 CDC,yes,,235.072(b),
252.235-7004,Protection of Human Subjects,Jul 2009,C,"In contracts that include or may include research involving human subjects, including research that meets exemption criteria",,"Yes, in all contracts that may included human subject research",07/06/10 LDC,no,,235-.072(e),
252.235-7010,Acknowledgement of Support and Disclaimer,May 1995,C,For all R&D contracts,Contracting Officer needs to fill in name of contracting agency(ies) and contract number(s). ,Not required in clause or prescription,10/18/10 LDC,yes,,235.072(c),
252.235-7011,Final Scientific or Technical Report,Dec 2019,OK,"Required in all R&D contracts.  Requires reports to be sent directly to DoD, so if flow-through, confirm with sponsor where VT should send reports.

Jan 2015 version of this clause requires submission of reports electronically at the following location:

http://www.dtic.mil/dtic/submit/","If a flow-through, ask Prime how they would like for VT to deliver these reports.  ",Not required in clause or prescription,"06/12/20 CDC
02/04/2015 CDC",yes,,235.072(d),
OLD,Final Scientific or Technical Report,Jan 2015,OK,"Required in all R&D contracts.  Requires reports to be sent directly to DoD, so if flow-through, confirm with sponsor where VT should send reports.

Jan 2015 version of this clause requires submission of reports electronically at the following location:

http://www.dtic.mil/dtic/submit/","If a flow-through, ask Prime how they would like for VT to deliver these reports.  ",Not required in clause or prescription,"06/12/20 CDC
02/04/2015 CDC",yes,,235.072(d),
OLD,Final Scientific or Technical Report,Nov 2004,OK,"Required in all R&D contracts.  Requires reports to be sent directly to DoD, so if flow-through, confirm with sponsor where VT should send reports.","If a flow-through, ask Prime if they want VT to send reports to gov't",Not required in clause or prescription,10/30/09 LDC,yes,,235.072(d),
252.236-7000,Modification Proposals--Price Breakdown.,Dec 1991,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7001,Contract Drawings and Specifications,Aug 2000,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7002,Obstruction of Navigable Waterways.,Dec 1991,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7003,Payment for Mobilization and Preparatory Work.,Jan 1997,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7004,Payment for Mobilization and Demobilization.,Dec 1991,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7005,Airfield Safety Precautions.,Dec 1991,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7006,Cost Limitation.,Jan 1997,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7007,Additive or Deductive Items.,Dec 1991,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7008,Contract Prices--Bidding Schedules.,Dec 1991,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7009,Option for Supervision and Inspection Services.,Dec 1991,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7010,Overseas Military Construction--Preference for United States Firms.,Jan 1997,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7011,Overseas Architect-Engineer Services--Restriction to United States Firms.,Jan 1997,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7012,Military Construction on Kwajalein Atoll--Evaluation Preference.,Mar 1998,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.236-7013,"Requirement for Competition Opportunity for American Steel Producers, Fabricators, and Manufacturers.",Jan 2023,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,"03/20/23 CDC
06/23/17 CDC",,,,
OLD,"Requirement for Competition Opportunity for American Steel Producers, Fabricators, and Manufacturers.",Jun 2013,REMOVE,"This clause is prescribed within DFARS Part 236, Construction and Architect-Engineering Contracts.  Virginia Tech is not executing  Construction and Architect-Engineering Contracts.  Request removal.  ",,,06/23/17 CDC,,,,
252.237-7010,Prohibition on Interrogation of Detainees by Contractor Personnel,Jan 2023,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, that are for the provision of services. 

The contracting officer may require this clause because the definition of ""services"" is broad.  It is self-deleting because paragraph (b) requires the following:

""Contractor personnel shall not interrogate detainees.""

If we do not interact with detainees, this clause does not apply. ",,"In all subcontracts, including subcontracts for commercial items, that may require subcontractor personnel to interact with detainees in the course of their duties.  Not applicable to VT research.","03/20/23 CDC
06/23/17 CDC",no,,237.173-5,
OLD,Prohibition on Interrogation of Detainees by Contractor Personnel,Jun 2013,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, that are for the provision of services. 

The contracting officer may require this clause because the definition of ""services"" is broad.  It is self-deleting because paragraph (b) requires the following:

""Contractor personnel shall not interrogate detainees.""

If we do not interact with detainees, this clause does not apply. ",,"In all subcontracts, including subcontracts for commercial items, that may require subcontractor personnel to interact with detainees in the course of their duties.  Not applicable to VT research.",03/28/14 CDC,no,,237.173-5,
252.237-7023,Continuation of Essential Contractor Services,Oct 2010,C,"In all solicitations and contracts for services that are in support of mission-essential function.

“Mission-essential functions” means those organizational activities that must be performed under all circumstances to achieve DoD component missions or responsibilities, as determined by the appropriate functional commander or civilian equivalent.  Failure to perform or sustain these functions would significantly affect DoD’s ability to provide vital services or exercise authority, direction, and control.

Most likely will not apply to the research effort that VT is executing.",,"Yes, in all contracts for ""essential services.""",03/28/14 CDC,no,,237.7603(a),
252.237-7024,Notice of Continuation of Essential Contractor Services,Oct 2010,C,In all solicitations and contracts that include 252.237-7023.,,No.  This is a solicitation provision (not a contract clause).,03/28/14 CDC,no,,237.7603(b),
252.239-7000,Protection Against Compromising Emanations,Oct 2019,C,"In contracts/solicitations involving information technology that requires protection against compromising emanations. This clause includes inspection and acceptance language at Paragraphs (c ) and (d) and rework at Paragraph (d).  

Notify OESRC. ","Negotiation Position #1 - Not Performing Efforts that Require Access to information technology that requires protection against compromising emanations.

",,"06/12/20 CDC
03/28/14 CDC
07/06/12 LDC",yes,Yes,239.7103(a),
OLD,Protection Against Compromising Emanations,Jun 2004,C,"In contracts/solicitations involving information technology that requires protection against compromising emanations.

Notify OESRC. ","Not applicable to VT SOW. 
If it is applicable - confirm with PI that he/she can meet these standards and 1 year guarantee",,"03/28/14 CDC
07/06/12 LDC",yes,Yes,239.7103(a),
252.239-7001,Information Assurance Contractor Training and Certification,JAN 2008,REMOVE,"If contract requires performance of information assurance functions as described in DoD 8570.01-M.  Virginia Tech should not be providing these types of functions.  

Notify OESRC if unable to remove. ","Negotiation Position #1 - Not Performing Information Assurance Functions.  

This clause is prescribed at DFARS 239.7103(b) to be used in contracts involving contractor performance of information assurance functions as described in DoD 8570.01-M, Information Assurance Workforce Improvement Program.  This involves the training, certification, and management of the DoD workforce conducting Information Assurance (IA) functions.  Since Virginia Tech is executing research efforts and will not be performing efforts regarding the training, certification, and management of the DoD workforce conducting Information Assurance (IA) functions, it is understood that this clause does not apply.  Therefore, it is respectfully requested for this clause to be removed.  Thank you. ",Virginia Tech should not be providing Information Assurance services.  Suggest removal of this clause. ,"05/31/21 CDC
06/12/20 CDC
03/28/14 CDC","Yes, if clause is included.",Yes,239.7103(b),
252-239-7002,Access,Dec 1991,REMOVE,,"This clause is prescribed to be used at DFARS 239.7411(a) for contracts that are providing telecommunications services.  Since Virginia Tech is not providing telecommunications services, it is respectfully requested for this clause to be removed. Thank you.",,10/22/2020 CDC,,,,
252-239-7003,Reserved,,,,,,10/22/2020 CDC,,,,
252-239-7004,Orders for Facilities and Services,Sep 2019,REMOVE,,"This clause is prescribed to be used at DFARS 239.7411(a) for contracts that are providing telecommunications services.  Since Virginia Tech is not providing telecommunications services, it is respectfully requested for this clause to be removed. Thank you.",,10/22/2020 CDC,,,,
252-239-7005,Reserved,,,,,,10/22/2020 CDC,,,,
252-239-7006,Reserved,,REMOVE,,"This clause is prescribed to be used at DFARS 239.7411(a) for contracts that are providing telecommunications services.  Since Virginia Tech is not providing telecommunications services, it is respectfully requested for this clause to be removed. Thank you.",,10/22/2020 CDC,,,,
252-239-7007,Cancellation or Termination of Orders,Sep 2019,REMOVE,,"This clause is prescribed to be used at DFARS 239.7411(a) for contracts that are providing telecommunications services.  Since Virginia Tech is not providing telecommunications services, it is respectfully requested for this clause to be removed. Thank you.",,10/22/2020 CDC,,,,
252-239-7008,Reserved,,,,,,10/22/2020 CDC,,,,
252.239-7009,Representation of Use of Cloud Computing,Jan 2023,C,"In solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial item, for information technology services.
","Negotiation Position:  Virginia Tech is Not Executing IT Services.  

This solicitation provision is for Information Technology Services.  As an educational institution executing research efforts, this provision does not apply to Virginia Tech. Therefore, it is respectfully requested for this to be removed from the resulting contract.  Thank you.   ",Yes,"03/20/23 CDC
05/31/21 CDC
03/28/21 CDC",,No,239.7603(a),
OLD,Representation of Use of Cloud Computing,Sep 2015,C,"In solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial item, for information technology services.
","Negotiation Position:  Virginia Tech is Not Executing IT Services.  

This solicitation provision is for Information Technology Services.  As an educational institution executing research efforts, this provision does not apply to Virginia Tech. Therefore, it is respectfully requested for this to be removed from the resulting contract.  Thank you.   ",Yes,"05/31/21 CDC
03/28/21 CDC",,No,239.7603(a),
OLD,Representation of Use of Cloud Computing,Aug 2015,C,"In solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial item, for information technology services.

","Negotiation Position:  Virginia Tech is Not Executing IT Services.  

This solicitation provision is for Information Technology Services.  As an educational institution executing research efforts, this provision does not apply to Virginia Tech. Therefore, it is respectfully requested for this to be removed from the resulting contract.  Thank you.   ",Yes,"05/31/21 CDC
03/28/21 CDC",,No,239.7603(a),
252.239-7010,Cloud Computing Services,Jan 2023,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial item, for information technology services

","Negotiation Position:  Virginia Tech is Not Executing IT Services.  
This contract clause is for Information Technology Services.  As an educational institution executing research efforts, this clause does not apply to Virginia Tech.  It is requested for it to be removed for clarity.  Thank you. 

  ",Yes,"03/20/23 CDC
05/31/21 CDC
03/28/21 CDC",,No,239.7603(b),
OLD,Cloud Computing Services,Oct 2016,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial item, for information technology services

","Negotiation Position:  Virginia Tech is Not Executing IT Services.  
This contract clause is for Information Technology Services.  As an educational institution executing research efforts, this clause does not apply to Virginia Tech.  It is requested for it to be removed for clarity.  Thank you. 

  ",Yes,"05/31/21 CDC
03/28/21 CDC",,No,239.7603(b),
OLD,Cloud Computing Services,Aug 2015,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial item, for information technology services

","Negotiation Position:  Virginia Tech is Not Executing IT Services.  
This contract clause is for Information Technology Services.  As an educational institution executing research efforts, this clause should does not apply to Virginia Tech.  It is requested for it to be removed for clarity.  Thank you. 

  ",Yes,"05/31/21 CDC
03/28/21 CDC",,No,239.7603(b),
252.239-7011,Special Construction and Equipment Charges,,REMOVE,,"This clause is prescribed to be used at DFARS 239.7411(b) for contracts that are providing telecommunications services when the acquisition includes or may include special construction.  Since Virginia Tech is not providing telecommunications services, it is respectfully requested for this clause to be removed. Thank you.",Yes,"05/31/21 CDC
03/28/21 CDC",,No,,
252.239-7012,Title to Telecommunication Facilities and Equipment.,,REMOVE,,"This clause is prescribed to be used at DFARS 239.7411(b) for contracts that are providing telecommunications services when the acquisition includes or may include special construction.  Since Virginia Tech is not providing telecommunications services, it is respectfully requested for this clause to be removed. Thank you.",Yes,"05/31/21 CDC
03/28/21 CDC",,No,,
252.239-7013,Term of Agreement and Continuation of Services,,REMOVE,,,,,,,,
252.239-7014,Reserved,,,,,,,,,,
252.239-7015,Reserved,,,,,,,,,,
252.239-7016,"Telecommunications Security Equipment, Devices, Techniques, and Services",Dec 1991,C,"Used in solicitations and contracts when performance of a contract requires secure telecommunications.

Notify OESRC","Negotiation Position #1:

Within this clause's prescription at DFARS 239.7411(d), it affirms that this clause is to be used in solicitations and contracts when performance of a contract requires secure telecommunications.  Since Virginia Tech is not performing efforts that would request secure communications, it is respectfully requested for this clause to be removed for clarity.  ",,03/25/21 CDC,Yes,,239.7411(d),
252.239-7017,Notice of Supply Chain Risk.,Dec 2022,Remove,"In all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for information technology, whether acquired as a service or as a supply, that is a covered system, is a part of a covered system, or is in support of a covered system.","Information Technology is defined at DFARS 252.239-7018(a) to include ""any equipment, or interconnected system(s) or subsystem(s) of equipment, that is used in the automatic acquisition, storage, analysis, evaluation, manipulation, management, movement, control, display, switching, interchange, transmission, or reception of data or information by the agency.""  Virginia Tech will be executing research efforts and will not be delivering information technology supplies as defined within this clause.  Therefore, it is respectfully requested for this clause to be removed.  ",,"03/20/23 CDC
02/16/19 CDC",,,,
OLD,Notice of Supply Chain Risk.,Feb 2019,Remove,"In all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for information technology, whether acquired as a service or as a supply, that is a covered system, is a part of a covered system, or is in support of a covered system.","Information Technology is defined at DFARS 252.239-7018(a) to include ""any equipment, or interconnected system(s) or subsystem(s) of equipment, that is used in the automatic acquisition, storage, analysis, evaluation, manipulation, management, movement, control, display, switching, interchange, transmission, or reception of data or information by the agency.""  Virginia Tech will be executing research efforts and will not be delivering information technology supplies as defined within this clause.  Therefore, it is respectfully requested for this clause to be removed.  ",,"03/20/23 CDC
02/16/19 CDC",,,,
252.239-7018,Supply Chain Risk.,Dec 2022,Remove,"In all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for information technology, whether acquired as a service or as a supply, that is a covered system, is a part of a covered system, or is in support of a covered system.","Information Technology is defined at DFARS 252.239-7018(a) to include ""any equipment, or interconnected system(s) or subsystem(s) of equipment, that is used in the automatic acquisition, storage, analysis, evaluation, manipulation, management, movement, control, display, switching, interchange, transmission, or reception of data or information by the agency.""  Virginia Tech will be executing research efforts and will not be delivering information technology supplies as defined within this clause.  Therefore, it is respectfully requested for this clause to be removed.  ",,"03/20/23 CDC
02/16/19 CDC",,,239.7306(b),
