Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-31,Invitation to Propose Financing Terms,Dec 2022,C,"Subpart 32.2, Commercial Item Purchase Financing, provides policies and procedures for commercial financing arrangements under commercial purchases pursuant to Part 12. Virginia Tech would not be executing purchases subject to Part 12.  Suggest removal","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  

Not really applicable to a university providing research efforts.  ",No - Should request removal as it really does not apply.,"03/11/23 CDC
09/01/14 CDC",No.  Should remove clause,No,32.205(b) and 32.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Invitation to Propose Financing Terms,May 2014,C,"Subpart 32.2, Commercial Item Purchase Financing, provides policies and procedures for commercial financing arrangements under commercial purchases pursuant to Part 12. Virginia Tech would not be executing purchases subject to Part 12.  Suggest removal","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  

Not really applicable to a university providing research efforts.  ",No - Should request removal as it really does not apply.,09/01/14 CDC,No.  Should remove clause,No,32.205(b) and 32.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-32,Performance-Based Payments,Apr 2012,C,"For solicitations that may result in performance based payments and FP contracts for performance based services
NOTE: Get supervisor approval (see 32.102(f))",,Not required in clause or prescription,"03/11/23 CDC
01/03/19 CDC
05/18/11 LDC",Yes - PI needs to understand performance based payment,No,32.1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-33,Payment by Electronic Funds Transfer -- System for Award Management,Oct 2018,C,Include if 52.204-7 is used,,"No, specifically for payment by Government.  Not required in clause","01/01/22 CDC
01/03/19 CDC
12/30/18 CDC
2/07/14 CDC",no,No,32.1110(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Payment by Electronic Funds Transfer -- System for Award Management,July 2013,C,Include if 52.204-7 is used,,"No, specifically for payment by Government.  Not required in clause",2/07/14 CDC,no,No,32.1110(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-34,Payment by Electronic Funds Transfer -- Other Than System for Award Management,July 2013,C,For contracts that require EFT but do not include 52-204-7. if using this clause,,"No, specifically for payment by Government.  Not required in clause",01/17/10 LDC,no,No,32.1110(a)(2),52.232-55 - 52.232-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-36,Payment by Third Party,May 2014,C,"If payment under a written contract will be made by a charge to a Government account with a third party such as a Governmentwide commercial purchase card, then the contracting officer shall insert the clause at 52.232-36, Payment by Third Party, in solicitations and contracts. ","I do not believe Virginia Tech accepts (through OSP) commercial purchase card payments.  Suggest removal of this clause.  

This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  ",No - Should request removal as it really does not apply.,09/01/14 CDC,No.  Should remove clause,No,32.1110(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-37,Multiple Payment Arrangements,May 1999,C,When delivery orders are used.  The method of payment will be designated in the individual orders,,No,01/17/10 LDC,no,No,32.1110(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-38,Submission of Electronic Funds Transfer Information with Offer,Jun 2013,C,If solicitation contains 52.232-34 and an offeror is required to submit EFT information prior to award,This clause is only applicable to solicitations and should not be in the contract.,No,"03/11/23 CDC
01/17/10 LDC",no,No,32.1110(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Submission of Electronic Funds Transfer Information with Offer,May 1999,C,If solicitation contains 52.232-34 and an offeror is required to submit EFT information prior to award,This clause is only applicable to solicitations and should not be in the contract.,No,01/17/10 LDC,no,No,32.1110(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-39,Unenforceability of Unauthorized Obligations,Jun 2013,OK,In all solicitations and contracts.  THIS IS A REQUIRED CLAUSE.,,Not required in clause or prescription,"01/01/22 CDC
01/03/19 CDC
10/24/14 CDC",no,No,32.706-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.232-40,Providing Accelerated Payments to Small Business Subcontractors,Nov 2021,OK,"In all solicitations and contracts. 

This version of the clause reflects updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).",,Not required in clause or prescription,"12/29/21 CDC
01/03/19 CDC
10/24/14 CDC",no,No,32.009-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Providing Accelerated Payments to Small Business Subcontractors,Dec 2013,OK,In all solicitations and contracts. ,,Not required in clause or prescription,"01/03/19 CDC
10/24/14 CDC",no,No,32.009-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.233-1,Disputes,May 2014,OK,"In all contracts unless conditions at 33.203(b) apply.  These conditions apply only to foreign governments or international organizations.  In other words, this clause will always apply to Virginia Tech.  

Alt I used when agency procedures require continued performance pending resolution","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  ",Not required in clause or prescription,09/01/14 CDC,no,No,33.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Disputes,Jul 2002,OK,"In all contracts unless conditions at 33.203(b) apply.
Alt I used when agency procedures require continued performance pending resolution",,Not required in clause or prescription,01/17/10 LDC,no,No,33.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.233-2,Service of Protest,Sept 2006,C,Solicitation Provision - Not in final contract.  If contract exceeds SAT.  THIS IS A REQUIRED SOLICITATION PROVISION.,CO must fill in blank,No.  Specific to Prime,01/17/10 LDC,no,No,33.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.233-3,Protest After Award,Aug 1996,OK,"Required in all contracts.
If CR contract include ALT I",The prescription requires Alt I to be used if this clause is used in a cost reimbursable contract,Not required in clause or prescription,"06/12/20 CDC
01/03/19 CDC
01/17/10 LDC",no,No,33.106(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.233-4,Applicable Law for Breach of Contract Claim,Oct 2004,OK,Required in all contracts.  THIS IS A REQUIRED CONTRACT CLAUSE.,,Not required in clause or prescription,"01/03/19 CDC
01/17/10 LDC",no,No,33.215(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.234-1,Industrial Resources Developed under Defense Production Act Title III,Sep 2016,C,In all contracts for major systems and items of supply,Not applicable to Virginia Tech's work per prescription.,Yes,"03/11/23 CDC
01/17/10 LDC",no,No,34.104,52.234-2 - 52.236-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Industrial Resources Developed under Defense Production Act Title III,Dec 1994,C,In all contracts for major systems and items of supply,Not applicable to Virginia Tech's work per prescription.,Yes,01/17/10 LDC,no,No,34.104,52.234-2 - 52.236-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.234-2,Notice of Earned Value Management System - Pre Award IBR,Nov 2016,REMOVE,Applicable only to contracts for major acquisitions for development in accordance with OMB A-11.  OMB A-ll says EMVS is only required for capital projects,Not applicable to Virginia Tech's work per prescription 34.201 and OMB Circular A-11,N/A,"03/11/23 CDC
04/15/11 LDC",n/a,No,34.203(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Notice of Earned Value Management System - Pre Award IBR,July 2006,REMOVE,Applicable only to contracts for major acquisitions for development in accordance with OMB A-11.  OMB A-ll says EMVS is only required for capital projects,Not applicable to Virginia Tech's work per prescription 34.201 and OMB Circular A-11,N/A,04/15/11 LDC,n/a,No,34.203(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.234-3,Notice of Earned Value Management System - Post Award IBR,Nov 2016,REMOVE,Applicable only to contracts for major acquisitions for development in accordance with OMB A-11.  OMB A-ll says EMVS is only required for capital projects,Not applicable to Virginia Tech's work per prescription 34.201 and OMB Circular A-11,N/A,"03/11/23 CDC
04/15/11 LDC",n/a,No,34.203(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Notice of Earned Value Management System - Post Award IBR,July 2006,REMOVE,Applicable only to contracts for major acquisitions for development in accordance with OMB A-11.  OMB A-ll says EMVS is only required for capital projects,Not applicable to Virginia Tech's work per prescription 34.201 and OMB Circular A-11,N/A,04/15/11 LDC,n/a,No,34.203(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.234-4,Earned Value Management System.,Nov 2016,REMOVE,Applicable only to contracts for major acquisitions for development in accordance with OMB A-11.  OMB A-ll says EMVS is only required for capital projects,"Not applicable to Virginia Tech's work per prescription 34.201 and OMB Circular A-11

This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  ",N/A,"02/23/23 CDC
09/01/14 CDC
04/15/11 LDC
",n/a,No,34.203(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Earned Value Management System.,May 2014,REMOVE,Applicable only to contracts for major acquisitions for development in accordance with OMB A-11.  OMB A-ll says EMVS is only required for capital projects,"Not applicable to Virginia Tech's work per prescription 34.201 and OMB Circular A-11

This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  ",N/A,"09/01/14 CDC
04/15/11 LDC
",n/a,No,34.203(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Earned Value Management System,July 2006,REMOVE,Applicable only to contracts for major acquisitions for development in accordance with OMB A-11.  OMB A-ll says EMVS is only required for capital projects,Not applicable to Virginia Tech's work per prescription 34.201 and OMB Circular A-11,N/A,04/15/11 LDC,n/a,No,34.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.236-7,Permits and Responsibilities,Nov 1991,REMOVE,"In any construction or in a FP dismantling, demolition or removal of improvements contract",Not applicable to Virginia Tech's SOW,Not required in clause or prescription,4/4/12 LDC,n/a,No,36.507,52.236-8 - 52.236-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.236-12,Cleaning Up,Apr 1984,C,For FP construction contracts or FP demolition over SAT.,Not applicable to Virginia Techs work per prescription.,Not required in clause or prescription,"03/11/23 CDC
01/17/10 LDC",yes,No,36.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.236-13,Accident Prevention,Nov 1991,C,For FP construction contracts or FP demolition over SAT.,Not applicable to Virginia Techs work per prescription.,Yes,"03/11/23 CDC
01/17/10 LDC",no,No,36.513,52.236-14 - 52.236-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.236-22,Design within Funding Limitations,Apr 1984,REMOVE,In FP Architect-engineer contracts (see definition tab for Architect-Eng),Virginia Tech is a research institute and does not provide architect-engineering services.,Not required in clause or prescription,"03/11/23 CDC
01/17/10 LDC",n/a,No,36.609-1(c) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.236-23,Responsibility for Architect-Engineer Contractor,Apr 1984,REMOVE,In FP Architect-engineer contracts (see definition tab for Architect-Eng),Virginia Tech is a research institute and does not provide architect-engineering services.,Not required in clause or prescription,"03/11/23 CDC
01/17/10 LDC",n/a,No,36.609-2(b),52.236-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.236-25,Requirements for Registration of Designers,Jun 2003,REMOVE,In Architect-engineer contracts (see definition tab for Architect-Eng),Virginia Tech is a research institute and does not provide architect-engineering services.,Not required in clause or prescription,"03/11/23 CDC
01/17/10 LDC",n/a,No,36.306-4,52.236-26 - 52.236-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-1,Site Visit,Apr 1984,C,In solicitations for services to be performed on Government installations,This clause is only for solicitations and should not be included in the contract.,No,"03/11/23 CDC
01/17/10 LDC",no,No,37.110(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-2,"Protection of Government Buildings, Equipment, and Vegetation",Apr 1984,REMOVE,"In contracts for services to be performed on Government installations

Must repair any damages at no expense to the Government.
","This clause is prescribed at FAR 37.110(b) to be used ""in solicitations and contracts for services to be performed on Government installations, unless a construction contract is contemplated.""  The research efforts will not be performed on a Government site.  Therefore, this clause does not apply.  It is requested for it to be deleted for clarity.  Thank you. ",Not required in clause or prescription,"03/11/23 CDC
01/17/10 LDC",Yes,No,37.110(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-3,Continuity of Services,Jan 1991,C,If contract services are vital to the government and must be continued without interruption and transitions between contractors will be difficult,Not applicable to Virginia Tech's work per prescription.,Not required in clause or prescription,"03/24/14 CDC
01/17/10 LDC",Yes,No,37.110(c) ,52.237-4 - 52.234-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-7,Indemnification and Medical Liability Insurance,Jan 1997,REMOVE,in solicitation and contracts for nonpersonal healthcare services,Virginia Tech is not providing health care services,For all subs for health care services,"03/11/23 CDC
05/16/11 LDC",n/a,No,37.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-8,Restrictions on Severance Payments to Foreign Nationals,Aug 2003,C,In solicitations for services providing support service to armed forces or employees of an executive agency posted outside U.S.and performed outside U.S.,Not applicable to Virginia Tech's work per prescription.  This clause is only for the solicitations and should not be included in the contract,Not required in clause or prescription,01/17/10 LDC,no,No,37.113-2(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-9,Waiver of Limitations on Severance Payments to Foreign Nationals,Dec 2022,C,"When the agency head grants a waiver to 37.113-1(a):

a) The head of the agency may waive the 31.205-6(g)(6) cost allowability limitations on severance payments to foreign nationals for contracts that—

(1) Provide significant support services for—

(i) Members of the armed forces stationed or deployed outside the United States, or

(ii) Employees of an executive agency posted outside the United States; and

(2) Will be performed in whole or in part outside the United States. ","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  
",Only if approved by CO,"03/11/23 CDC
09/01/14 CDC",no,No,37.113-2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Waiver of Limitations on Severance Payments to Foreign Nationals,May 2014,C,"When the agency head grants a waiver to 37.113-1(a):

a) The head of the agency may waive the 31.205-6(g)(6) cost allowability limitations on severance payments to foreign nationals for contracts that—

(1) Provide significant support services for—

(i) Members of the armed forces stationed or deployed outside the United States, or

(ii) Employees of an executive agency posted outside the United States; and

(2) Will be performed in whole or in part outside the United States. ","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  
",Only if approved by CO,09/01/2014 CDC,no,No,37.113-2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Waiver of Limitations on Severance Payments to Foreign Nationals,Aug 2003,C,When the agency head grants a waiver to 37.113-1,,Only if approved by CO,01/17/10 LDC,no,No,37.113-2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-10,Identification of Uncompromised Overtime,Mar 2015,REMOVE,for solicitations above SAT for services to be acquired on the basis of number of hours to be provided,As an educational institution subject to the Uniform Guidance (i.e. 2 CFR 200).  Virginia Tech cannot perform services on an hourly basis,Not required in clause or prescription,"03/11/23 CDC
01/17/10 LDC",n/a,No,37.115-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Identification of Uncompromised Overtime,Oct 1997,REMOVE,for solicitations above SAT for services to be acquired on the basis of number of hours to be provided,As an educational institution subject to the Uniform Guidance (i.e. 2 CFR 200).  Virginia Tech cannot perform services on an hourly basis,Not required in clause or prescription,01/17/10 LDC,n/a,No,37.115-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-11,RESERVED,,,"Effective October 26, 2018",,,09/30/18 CDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.237-11,Accepting and Dispensing of $1 Coin,Sep 2008,C,For service contracts the involve operations conducted in U.S. coins and currency on any premises owned by or under the control of the U.S,Not applicable to Virginia Tech's work per prescription,Not required in clause or prescription,01/17/10 LDC,no,No,37.116-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.239-1,Privacy or Security Safeguards,Aug 1996,C,"This is to be used in solicitations and contracts for information technology which require security of information technology, and/or are for the design, development, or operation of a system of records using commercial information technology services or support services.

OESRC Comments:  OESRC does not view this as a publication restriction on the research results so fundamental research could still be applicable.  However, we recommend removal of the clause.  Please notify OESRC if the sponsor declines to remove the clause.","Negotiation Position #1:
Virginia Tech is not providing any Information Technology, as defined with FAR 2.101.  Since FAR Part 39 is for the Acquisition of Information Technology, it is understood that this clause should not apply.  Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. 

Negotiation Position #2
This clause is prescribed at FAR 39.106 as applying to contracts for information technology which require security of information technology, and/or are for the design, development, or operation of a system of records using commercial information technology services or support services. The research efforts being executed by Virginia Tech shall not involve such security requirements and will not be for the development of a system of record.  Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. 

",Not required in clause or prescription,"03/11/23 CDC
03/28/21 CDC
02/28/21 CDC
05/21/17 CDC
12/17/10 LDC",Yes,Yes,39.106,52.241-1 - 52.241-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.242-1,Notice of Intent to Disallow Costs,Apr 1984,C,"Use in solicitations and contracts when a cost-reimbursement contract, a fixed-price incentive contract, or a contract providing for price redetermination is contemplated.  If the clause requirements apply, this clause is a required clause.",,Not required in clause or prescription (but maybe want to flowdown similar language),"01/03/19 CDC
10/18/10 LDC",no,No,42.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.242-2,Production Progress Reports,April 1991,REMOVE,This is for manufacturing or production,Virginia Tech is not manufacturing,No,"03/11/23 CDC
09/01/10 LDC",no,No,42.1107(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.242-3,Penalties for Unallowable Costs,Dec 2022,C,"For all contracts over $800,000 except FP contracts without incentives or for the purchase of commercial products and commercial services.  ","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  ",Not required in clause or prescription,"03/11/23 CDC
03/2/22 CDC
01/03/19 CDC
09/01/14 CDC",no,No,42.709-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Penalties for Unallowable Costs,Sep 2021,C,"For all contracts over $700,000 except FP contracts without incentives or for the purchase of commercial items.","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  ",Not required in clause or prescription,"03/2/22 CDC
01/03/19 CDC
09/01/14 CDC",no,No,42.709-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Penalties for Unallowable Costs,May 2014,C,"For all contracts over $700,000 except FP contracts without incentives or for the purchase of commercial items.","This updated version of this clause makes the updates to comply with the Final Rule, ""Federal Acquisition Regulation; Positive Law Codification of Title 41.""  ",Not required in clause or prescription,"01/03/19 CDC
09/01/14 CDC",no,No,42.709-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Penalties for Unallowable Costs,May 2001,C,"For all contracts over $700,000 except FP contracts without incentives or the purchase of commercial items",,Not required in clause or prescription,01/17/10 LDC,no,No,42.709-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
